drug1,drug2,drug_pair,total_reports,serious_reports,death_reports,hosp_reports,severity_score,death_score,hosp_score,top_reactions,severity,label,source
tramadol,xarelto,tramadol + xarelto,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
coumadin,riociguat,coumadin + riociguat,1,1,0,1,1.0,0.0,1.0,fluid retention,LOW,0,FDA FAERS
aldactone,riociguat,aldactone + riociguat,1,1,0,1,1.0,0.0,1.0,fluid retention,LOW,0,FDA FAERS
remodulin,riociguat,remodulin + riociguat,1,1,0,1,1.0,0.0,1.0,fluid retention,LOW,0,FDA FAERS
aldactone,letairis,aldactone + letairis,1,1,0,1,1.0,0.0,1.0,fluid retention,LOW,0,FDA FAERS
aldactone,coumadin,aldactone + coumadin,1,1,0,1,1.0,0.0,1.0,fluid retention,LOW,0,FDA FAERS
enoxaparin,xarelto,enoxaparin + xarelto,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
clonazepam,indapamide,clonazepam + indapamide,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
aldactone,remodulin,aldactone + remodulin,1,1,0,1,1.0,0.0,1.0,fluid retention,LOW,0,FDA FAERS
clonazepam,tramadol,clonazepam + tramadol,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
clonazepam,enoxaparin,clonazepam + enoxaparin,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
lantus,mixtard,lantus + mixtard,1,1,0,0,1.0,0.0,0.0,abortion,LOW,0,FDA FAERS
dronedarone,maalox,dronedarone + maalox,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
clonazepam,simvastatin,clonazepam + simvastatin,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
dronedarone,miralax,dronedarone + miralax,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
diltiazem,dronedarone,diltiazem + dronedarone,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
dronedarone,pravastatin,dronedarone + pravastatin,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
dabigatran,maalox,dabigatran + maalox,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
maalox,miralax,maalox + miralax,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
diltiazem,maalox,diltiazem + maalox,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
maalox,pravastatin,maalox + pravastatin,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
maalox,omeprazole,maalox + omeprazole,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
clonazepam,xarelto,clonazepam + xarelto,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
dabigatran,miralax,dabigatran + miralax,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
dabigatran,diltiazem,dabigatran + diltiazem,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
bisoprolol,omeprazole,bisoprolol + omeprazole,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
aranesp,neulasta,aranesp + neulasta,1,1,0,1,1.0,0.0,1.0,hospitalisation,LOW,0,FDA FAERS
cimetidine,spironolactone,cimetidine + spironolactone,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
lasix,sigmart,lasix + sigmart,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
lasix,nifedipine,lasix + nifedipine,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
lasix,mequitolide,lasix + mequitolide,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
indapamide,tramadol,indapamide + tramadol,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
lasix,spironolactone,lasix + spironolactone,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
nifedipine,sigmart,nifedipine + sigmart,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
aldactone,sigmart,aldactone + sigmart,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
mequitolide,sigmart,mequitolide + sigmart,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
sigmart,spironolactone,sigmart + spironolactone,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
aldactone,nifedipine,aldactone + nifedipine,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
mequitolide,nifedipine,mequitolide + nifedipine,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
nifedipine,spironolactone,nifedipine + spironolactone,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
aldactone,mequitolide,aldactone + mequitolide,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
indapamide,xarelto,indapamide + xarelto,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
endoxan,prograf,endoxan + prograf,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
enoxaparin,omeprazole,enoxaparin + omeprazole,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
prograf,thymoglobulin,prograf + thymoglobulin,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
enoxaparin,indapamide,enoxaparin + indapamide,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
pridol,prograf,pridol + prograf,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
endoxan,methotrexate,endoxan + methotrexate,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
endoxan,thymoglobulin,endoxan + thymoglobulin,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
endoxan,pridol,endoxan + pridol,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
methotrexate,thymoglobulin,methotrexate + thymoglobulin,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
methotrexate,pridol,methotrexate + pridol,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
pridol,thymoglobulin,pridol + thymoglobulin,1,1,0,1,1.0,0.0,1.0,platelet count decreased|febrile neutropenia|anaemia|stomatitis|cytomegalovirus test positive,LOW,0,FDA FAERS
enoxaparin,tramadol,enoxaparin + tramadol,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
apidra,lantus,apidra + lantus,1,1,1,0,1.0,1.0,0.0,acute myocardial infarction,LOW,0,FDA FAERS
riociguat,tadalafil,riociguat + tadalafil,1,1,0,1,1.0,0.0,1.0,fluid retention,LOW,0,FDA FAERS
enoxaparin,simvastatin,enoxaparin + simvastatin,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
mequitolide,spironolactone,mequitolide + spironolactone,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
topamax,vx-vx- combination,topamax + vx-vx- combination,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
allegra,topamax,allegra + topamax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
topamax,ventolin,topamax + ventolin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
topamax,zenpep,topamax + zenpep,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
albuterol,topamax,albuterol + topamax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
tobi,topamax,tobi + topamax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
pulmozyme,topamax,pulmozyme + topamax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
nexium,topamax,nexium + topamax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
co-q,norco,co-q + norco,1,1,0,1,1.0,0.0,1.0,hypoglycaemic coma|insulinoma,LOW,0,FDA FAERS
flonase,topamax,flonase + topamax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
vx-vx- combination,wellbutrin,vx-vx- combination + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
allegra,wellbutrin,allegra + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
ventolin,wellbutrin,ventolin + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
wellbutrin,zenpep,wellbutrin + zenpep,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
bisoprolol,indapamide,bisoprolol + indapamide,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
tobi,wellbutrin,tobi + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
metoprolol,norco,metoprolol + norco,1,1,0,1,1.0,0.0,1.0,hypoglycaemic coma|insulinoma,LOW,0,FDA FAERS
co-q,metoprolol,co-q + metoprolol,1,1,0,1,1.0,0.0,1.0,hypoglycaemic coma|insulinoma,LOW,0,FDA FAERS
pulmozyme,wellbutrin,pulmozyme + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
nexium,wellbutrin,nexium + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
flonase,wellbutrin,flonase + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
norco,potassium,norco + potassium,1,1,0,1,1.0,0.0,1.0,hypoglycaemic coma|insulinoma,LOW,0,FDA FAERS
allegra,vx-vx- combination,allegra + vx-vx- combination,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
vx-vx- combination,zoloft,vx-vx- combination + zoloft,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
ventolin,vx-vx- combination,ventolin + vx-vx- combination,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
vx-vx- combination,zenpep,vx-vx- combination + zenpep,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
albuterol,vx-vx- combination,albuterol + vx-vx- combination,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
tobi,vx-vx- combination,tobi + vx-vx- combination,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
co-q,potassium,co-q + potassium,1,1,0,1,1.0,0.0,1.0,hypoglycaemic coma|insulinoma,LOW,0,FDA FAERS
metoprolol,potassium,metoprolol + potassium,1,1,0,1,1.0,0.0,1.0,hypoglycaemic coma|insulinoma,LOW,0,FDA FAERS
albuterol,wellbutrin,albuterol + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
miralax,pravastatin,miralax + pravastatin,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
bisoprolol,enoxaparin,bisoprolol + enoxaparin,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
bisoprolol,simvastatin,bisoprolol + simvastatin,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
bisoprolol,xarelto,bisoprolol + xarelto,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
diltiazem,pravastatin,diltiazem + pravastatin,1,1,0,1,1.0,0.0,1.0,rectal haemorrhage|drug interaction,LOW,0,FDA FAERS
alprazolam,fentanyl,alprazolam + fentanyl,1,1,1,0,1.0,1.0,0.0,drug abuse|toxicity to various agents|pulmonary congestion|pulmonary oedema|cardiomegaly,LOW,0,FDA FAERS
novolog,zithromax,novolog + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,topamax,novolog + topamax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,wellbutrin,novolog + wellbutrin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,vx-vx- combination,novolog + vx-vx- combination,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
allegra,novolog,allegra + novolog,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,zoloft,novolog + zoloft,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,ventolin,novolog + ventolin,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,zenpep,novolog + zenpep,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
flonase,zithromax,flonase + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,tobi,novolog + tobi,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
novolog,pulmozyme,novolog + pulmozyme,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
nexium,novolog,nexium + novolog,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
flonase,novolog,flonase + novolog,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
topamax,zithromax,topamax + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
wellbutrin,zithromax,wellbutrin + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
vx-vx- combination,zithromax,vx-vx- combination + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
bisoprolol,clonazepam,bisoprolol + clonazepam,1,1,0,1,1.0,0.0,1.0,transient ischaemic attack,LOW,0,FDA FAERS
allegra,zithromax,allegra + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
zithromax,zoloft,zithromax + zoloft,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
ventolin,zithromax,ventolin + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
zenpep,zithromax,zenpep + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
labetalol,lamictal,labetalol + lamictal,1,2,0,0,2.0,0.0,0.0,drug dose omission|device leakage|product quality issue,LOW,0,FDA FAERS
tobi,zithromax,tobi + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
nexium,zithromax,nexium + zithromax,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
albuterol,novolog,albuterol + novolog,1,1,0,1,1.0,0.0,1.0,forced expiratory volume decreased,LOW,0,FDA FAERS
aspirin,hydralazine,aspirin + hydralazine,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
samsca,thyradin,samsca + thyradin,1,1,1,0,1.0,1.0,0.0,hepatitis acute|renal failure|septic shock|blood creatine phosphokinase increased,LOW,0,FDA FAERS
warfarin,xarelto,warfarin + xarelto,1,1,0,1,1.0,0.0,1.0,haemorrhage,LOW,0,FDA FAERS
artist,thyradin,artist + thyradin,1,1,1,0,1.0,1.0,0.0,hepatitis acute|renal failure|septic shock|blood creatine phosphokinase increased,LOW,0,FDA FAERS
lasix,thyradin,lasix + thyradin,1,1,1,0,1.0,1.0,0.0,hepatitis acute|renal failure|septic shock|blood creatine phosphokinase increased,LOW,0,FDA FAERS
bayaspirin,thyradin,bayaspirin + thyradin,1,1,1,0,1.0,1.0,0.0,hepatitis acute|renal failure|septic shock|blood creatine phosphokinase increased,LOW,0,FDA FAERS
bfluid,rocephin,bfluid + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
feburic,rocephin,feburic + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
gorei-san,rocephin,gorei-san + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
hanp,rocephin,hanp + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
rocephin,samsca,rocephin + samsca,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
norco,zetia,norco + zetia,1,1,0,1,1.0,0.0,1.0,pulmonary embolism,LOW,0,FDA FAERS
lebenin,rocephin,lebenin + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
cimetidine,rocephin,cimetidine + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
emconcor,xarelto,emconcor + xarelto,1,1,0,0,1.0,0.0,0.0,paraesthesia,LOW,0,FDA FAERS
rocephin,sigmart,rocephin + sigmart,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
nifedipine,rocephin,nifedipine + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
aldactone,rocephin,aldactone + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
mequitolide,rocephin,mequitolide + rocephin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
rocephin,spironolactone,rocephin + spironolactone,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,feburic,bfluid + feburic,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,gorei-san,bfluid + gorei-san,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
maxzide,zetia,maxzide + zetia,1,1,0,1,1.0,0.0,1.0,pulmonary embolism,LOW,0,FDA FAERS
bfluid,hanp,bfluid + hanp,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,samsca,bfluid + samsca,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,lebenin,bfluid + lebenin,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,cimetidine,bfluid + cimetidine,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,lasix,bfluid + lasix,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,sigmart,bfluid + sigmart,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
bfluid,nifedipine,bfluid + nifedipine,1,1,0,0,1.0,0.0,0.0,renal failure acute|urine output decreased|oedema peripheral|dehydration,LOW,0,FDA FAERS
dilaudid,zetia,dilaudid + zetia,1,1,0,1,1.0,0.0,1.0,pulmonary embolism,LOW,0,FDA FAERS
fluoxetine,synthroid,fluoxetine + synthroid,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
plavix,proventil,plavix + proventil,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
plavix,valium,plavix + valium,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
fluoxetine,plavix,fluoxetine + plavix,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
hydralazine,proventil,hydralazine + proventil,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
hydralazine,valium,hydralazine + valium,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
hydralazine,synthroid,hydralazine + synthroid,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
ambien,hydralazine,ambien + hydralazine,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
fluoxetine,hydralazine,fluoxetine + hydralazine,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
baclofen,proventil,baclofen + proventil,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
baclofen,valium,baclofen + valium,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
ambien,baclofen,ambien + baclofen,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
baclofen,fluoxetine,baclofen + fluoxetine,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
baclofen,hydralazine,baclofen + hydralazine,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
bayaspirin,samsca,bayaspirin + samsca,1,1,1,0,1.0,1.0,0.0,hepatitis acute|renal failure|septic shock|blood creatine phosphokinase increased,LOW,0,FDA FAERS
amlodipine,valium,amlodipine + valium,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
amlodipine,fluoxetine,amlodipine + fluoxetine,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
proventil,xarelto,proventil + xarelto,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
valium,xarelto,valium + xarelto,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
ambien,xarelto,ambien + xarelto,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
fluoxetine,xarelto,fluoxetine + xarelto,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
plavix,xarelto,plavix + xarelto,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
hydralazine,xarelto,hydralazine + xarelto,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
baclofen,xarelto,baclofen + xarelto,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
lisinopril,proventil,lisinopril + proventil,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
lisinopril,valium,lisinopril + valium,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
bayaspirin,feburic,bayaspirin + feburic,1,1,1,0,1.0,1.0,0.0,hepatitis acute|renal failure|septic shock|blood creatine phosphokinase increased,LOW,0,FDA FAERS
fluoxetine,lisinopril,fluoxetine + lisinopril,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
feburic,thyradin,feburic + thyradin,1,1,1,0,1.0,1.0,0.0,hepatitis acute|renal failure|septic shock|blood creatine phosphokinase increased,LOW,0,FDA FAERS
aspirin,proventil,aspirin + proventil,1,1,1,1,1.0,1.0,1.0,cardiac arrest|blood urine present|unresponsive to stimuli|blood pressure decreased|haemoglobin decreased,LOW,0,FDA FAERS
